maDiaDiem,tenDiaDiem,moTa,diaChi,maTinhThanh,loaiDiaDiem,viDo,kinhDo,giaVe,gioMoCua,gioDongCua,dienThoai,website,danhGiaTrungBinh,soLuotDanhGia,soLuotXem,maNguoiTao,ngayTao,lanCapNhatCuoi,trangThai,dacDiem,tienNghi
11,Massage Như Ý - Cát Tường,,"123 Trần Hưng Đạo, Phú Thủy, Thành phố Phan Thiết, Bình Thuận",10,khac,0.0,0.0,0.0,,,0933899798,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""cssk"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cssk/?item=36"", ""email"": ""anhngoc1341989@gmail.com"", ""item_id"": ""36"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
12,Thẩm Mỹ Viện Seoul,,"154 Trương Hán Siêu, Phú Thủy, Thành phố Phan Thiết, Bình Thuận",10,khac,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""cssk"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cssk/?item=39"", ""email"": """", ""item_id"": ""39"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
13,Spa Sunflower,,"141 Nguyễn Đình Chiểu, Mũi Né, Thành phố Phan Thiết, Bình Thuận",10,khac,0.0,0.0,0.0,,,0962005154,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""cssk"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cssk/?item=42"", ""email"": """", ""item_id"": ""42"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
14,Hưng Thành Luxury Massage Phan Thiết,,"84/1 Trần Hưng Đạo, Thành phố Phan Thiết, Bình Thuận",10,khac,0.0,0.0,0.0,,,02523831668,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""cssk"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cssk/?item=45"", ""email"": """", ""item_id"": ""45"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
15,Spa Mỹ Uyên,,"Số 199, đường Trần Phú, Thành phố Bạc Liêu, Bạc Liêu",2,khac,0.0,0.0,0.0,,,0775199199,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""cssk"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cssk/?item=51"", ""email"": ""huahauyen@gmail.com"", ""item_id"": ""51"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
16,Trường Đại học An Giang,,"số 18 Ung Văn Khiêm, Thành phố Long Xuyên",1,khac,0.0,0.0,0.0,,,,https://www.agu.edu.vn,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""csdt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/csdt/?item=4"", ""email"": ""webmaster@agu.edu.vn"", ""item_id"": ""4"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
17,Trường Đại học Bà Rịa - Vũng Tàu,,"80 Trương Công Định, Thành phố Vũng Tàu, Bà Rịa - Vũng Tàu",62,khac,0.0,0.0,0.0,,,02547305456,https://bvu.edu.vn,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""csdt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/csdt/?item=7"", ""email"": ""dhbrvt@bvu.edu.vn"", ""item_id"": ""7"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
18,Trường Cao đẳng Du lịch Vũng Tàu,,"459 Trương Công Định, Thành phố Vũng Tàu, Bà Rịa - Vũng Tàu",62,khac,0.0,0.0,0.0,,,02543853334,http://vtvc.edu.vn,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""csdt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/csdt/?item=10"", ""email"": ""truongdulich@vtvc.edu.vn"", ""item_id"": ""10"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
19,Trường Đại học Cần Thơ,,"Khu II, đường 3/2, Quận Ninh Kiều, Thành phố Cần Thơ",59,khac,0.0,0.0,0.0,,,02923832663,https://www.ctu.edu.vn,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""csdt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/csdt/?item=13"", ""email"": ""dhct@ctu.edu.vn"", ""item_id"": ""13"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
20,Trường Đại học Công nghệ Đồng Nai,,"Đường Nguyễn Khuyến, Khu phố 5, Trảng Dài, Thành phố Biên Hòa, Đồng Nai",16,khac,0.0,0.0,0.0,,,02513996473,https://dntu.edu.vn,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""csdt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/csdt/?item=16"", ""email"": ""tuyensinh@dntu.edu.vn"", ""item_id"": ""16"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
21,Trường Cao đẳng Kiên Giang,,"217 Chu Văn An, Thành phố Rạch Giá, An Giang",1,khac,0.0,0.0,0.0,,,02963863530,https://www.kgc.edu.vn,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""csdt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/csdt/?item=19"", ""email"": ""kgc@kgc.edu.vn"", ""item_id"": ""19"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
22,Trường Cao đẳng Công nghệ và Du lịch,,"201 Nguyễn Văn Rành, Thành phố Tân An, Tây Ninh",49,khac,0.0,0.0,0.0,,,02723839177,http://caodangcongnghedulich.edu.vn,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""csdt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/csdt/?item=22"", ""email"": ""ladec@ladec.com.vn"", ""item_id"": ""22"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
23,Trường Đại học Dân lập Văn Hiến,,"665-667-669 Điện Biên Phủ, Quận 3, Thành phố Hồ Chí Minh",61,khac,0.0,0.0,0.0,,,02838320333,https://vhu.edu.vn,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""csdt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/csdt/?item=25"", ""email"": ""info@vhu.edu.vn"", ""item_id"": ""25"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
24,Trường Đại học Văn Lang,,"45 Nguyễn Khắc Nhu, Quận 1, Thành phố Hồ Chí Minh",61,khac,0.0,0.0,0.0,,,02871059999,https://www.vanlanguni.edu.vn,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""csdt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/csdt/?item=28"", ""email"": ""info@vlu.edu.vn"", ""item_id"": ""28"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
25,Trường Đại học Khoa học Xã hội Nhân văn,,"10-12 Đinh Tiên Hoàng, Sài Gòn, Quận 1, Thành phố Hồ Chí Minh",61,khac,0.0,0.0,0.0,,,02838293828,https://hcmussh.edu.vn,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""csdt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/csdt/?item=31"", ""email"": ""hanhchinh@hcmussh.edu.vn"", ""item_id"": ""31"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
26,Trường Đại học Tôn Đức Thắng,,"19 Nguyễn Hữu Thọ, Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh",61,khac,0.0,0.0,0.0,,,02837755035,https://tdtu.edu.vn,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""csdt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/csdt/?item=34"", ""email"": ""tuvantuyensinh@tdtu.edu.vn"", ""item_id"": ""34"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
27,Trường Cao đẳng Quốc tế Kent,,"219 – 221 Xô Viết Nghệ Tĩnh, Quận Bình Thạnh, Thành phố Hồ Chí Minh",61,khac,0.0,0.0,0.0,,,02873003969,https://kent.edu.vn,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""csdt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/csdt/?item=37"", ""email"": ""tuyensinh@kent.edu.vn"", ""item_id"": ""37"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
28,Trường Cao đẳng Kinh tế Tp. Hồ Chí Minh,,"33 Vĩnh Viễn, Vườn Lài, Quận 10, Thành phố Hồ Chí Minh",61,khac,0.0,0.0,0.0,,,02838330731,http://www.kthcm.edu.vn,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""csdt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/csdt/?item=40"", ""email"": ""hce@kthcm.edu.vn"", ""item_id"": ""40"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
29,Trường Đại học Hoa Sen,,"08 Nguyễn Văn Tráng, Bến Thành, Quận 1, Thành phố Hồ Chí Minh",61,khac,0.0,0.0,0.0,,,02873007272,https://www.hoasen.edu.vn,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""csdt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/csdt/?item=43"", ""email"": ""vpbgh@hoasen.edu.vn"", ""item_id"": ""43"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
30,Trường Đại học Công nghiệp Thực phẩm Tp. Hồ Chí Minh,,"140 Lê Trọng Tấn, Tây Thạnh, Quận Tân Phú, Thành phố Hồ Chí Minh",61,khac,0.0,0.0,0.0,,,02838163318,https://hufi.edu.vn,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""csdt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/csdt/?item=46"", ""email"": ""infor@hufi.edu.vn"", ""item_id"": ""46"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
31,Trung Tâm Thể Dục Thể Thao Tỉnh Bình Định,,"236 B Lê Hồng Phong, Thành phố Qui Nhơn, Gia Lai",18,giai_tri,0.0,0.0,0.0,,,02563818773,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""tt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/tt/?item=5"", ""email"": """", ""item_id"": ""5"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
32,Forever Young Yoga & Fitness,,"Lô DC2, 21 Đ. Trần Đăng Phong, Quy Nhơn Nam, Thành phố Qui Nhơn, Gia Lai",18,giai_tri,0.0,0.0,0.0,,,0903594459,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""tt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/tt/?item=8"", ""email"": """", ""item_id"": ""8"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
33,Devi Yoga,,"105F Hai Bà Trưng, Quy Nhơn, Thành phố Qui Nhơn, Gia Lai",18,giai_tri,0.0,0.0,0.0,,,02563818333,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""tt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/tt/?item=11"", ""email"": """", ""item_id"": ""11"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
34,Câu lạc bộ VVTD JET Martial Arts & Fitness,,"814 Trần Hưng Đạo, Thành phố Qui Nhơn, Gia Lai",18,giai_tri,0.0,0.0,0.0,,,0775499747,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""tt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/tt/?item=14"", ""email"": """", ""item_id"": ""14"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
35,Trung tâm Huấn luyện và Thi đấu Thể thao,,"122, Đường Hai Mươi Tháng Tám, Bảo An, Thành phố Phan Rang-Tháp Chàm, Ninh Thuận",39,giai_tri,0.0,0.0,0.0,,,02593823527,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""tt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/tt/?item=17"", ""email"": """", ""item_id"": ""17"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
36,CLB Tâm Thể Mỹ Yoga Phan Rang - Ninh Thuận,,"11 Phạm Hồng Thái, Thành phố Phan Rang-Tháp Chàm, Ninh Thuận",39,giai_tri,0.0,0.0,0.0,,,0937382557,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""tt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/tt/?item=20"", ""email"": """", ""item_id"": ""20"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
37,CLB Gym & Fitness Tuyết Vi Ninh Thuận,,"287 Yết Kiêu, Thành phố Phan Rang-Tháp Chàm, Ninh Thuận",39,giai_tri,0.0,0.0,0.0,,,0941688818,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""tt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/tt/?item=23"", ""email"": """", ""item_id"": ""23"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
38,"Trung Tâm Huấn Luyện Và Thi Đấu Thể Dục, Thể Thao Nghệ An",,"06 Đào Tấn, khối 3, Trường Vinh, Thành phố Vinh, Nghệ An",37,giai_tri,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""tt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/tt/?item=26"", ""email"": """", ""item_id"": ""26"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
39,X-GYM Fitness,,"59 Đinh Lễ, Thành phố Vinh, Nghệ An",37,giai_tri,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""tt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/tt/?item=29"", ""email"": """", ""item_id"": ""29"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
40,Trung tâm Thể Thao Italy Sport Vinh Nghệ An,,"10 Nguyễn Tài, Thành phố Vinh, Nghệ An",37,giai_tri,0.0,0.0,0.0,,,0904979662,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""tt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/tt/?item=32"", ""email"": """", ""item_id"": ""32"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
41,Melia Ba Vi Mountain Retreat,,"Cote 600, Vườn quốc gia Ba Vì,, Ba Vì, Huyện Ba Vì, Thành phố Hà Nội",21,giai_tri,0.0,0.0,0.0,,,02432009999,https://www.melia.com/vi/hotels/vietnam/hanoi/melia-ba-vi-mountain-retreat/index.htm,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""tt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/tt/?item=35"", ""email"": ""info@meliabavimountain.com"", ""item_id"": ""35"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
42,Gym Café,,"M39-40, Tôn Đức Thắng, Hàm Thắng, Thành phố Phan Thiết, Bình Thuận",10,giai_tri,0.0,0.0,0.0,,,0966600393,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""tt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/tt/?item=38"", ""email"": """", ""item_id"": ""38"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
43,Best Gym,,"753/7 Phạm Hữu Lầu, Thành phố Cao Lãnh",17,giai_tri,0.0,0.0,0.0,,,0989515514,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""tt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/tt/?item=41"", ""email"": """", ""item_id"": ""41"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
44,Cana Gym,,"22 Lý Thường Kiệt, Long Hoa, Huyện Hòa Thành",22,giai_tri,0.0,0.0,0.0,,,0919309248,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""tt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/tt/?item=42"", ""email"": """", ""item_id"": ""42"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
45,Trung tâm thể dục thể thao thành phố Bạc Liêu,,"số 546, đường Võ Thị Sáu, Thành phố Bạc Liêu, Bạc Liêu",2,giai_tri,0.0,0.0,0.0,,,02917813822163,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""tt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/tt/?item=45"", ""email"": """", ""item_id"": ""45"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
46,QIQ Xe đạp Hội An,,"9 Trần Hưng Đạo, Hội An, Thành phố Hội An, Quảng Nam",43,khac,0.0,0.0,0.0,,,0886228088,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""vtkdl"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/vtkdl/?item=276"", ""email"": """", ""item_id"": ""276"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
47,Nhà xe Cường Thịnh,,"100 Trường Sơn , Thống Nhất, Thành phố Pleiku",18,khac,0.0,0.0,0.0,,,0966201139,https://www.xedichvupleiku.com,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""vtkdl"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/vtkdl/?item=284"", ""email"": ""ngovancuonggl811@gmail.com"", ""item_id"": ""284"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
48,Nhà xe Lai Phượng,,"497 Hùng Vương, Đăk Hà, Huyện Đắk Hà, Kon Tum",30,khac,0.0,0.0,0.0,,,0988444027,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""vtkdl"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/vtkdl/?item=287"", ""email"": ""quynh.nguyen.sv.dn@gmail.com"", ""item_id"": ""287"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
49,Dịch vụ cho thuê xe máy,,"162 Hoàng Thị Loan, Thành phố Kon Tum, Kon Tum",30,khac,0.0,0.0,0.0,,,0869965382,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""vtkdl"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/vtkdl/?item=288"", ""email"": """", ""item_id"": ""288"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
50,HTX vận tải Phương Thu Măng Đen,,"23 Nguyễn Sinh Sắc, Măng Đen, Huyện Kon Plông, Kon Tum",30,khac,0.0,0.0,0.0,,,0949839839,https://phuongthukontum.com/,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""vtkdl"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/vtkdl/?item=290"", ""email"": ""phuongthumangden@gmail.com"", ""item_id"": ""290"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
51,Thuê xe Quảng Trị,,"36 Nguyễn Huệ, Đông Hà, Thành phố Đông Hà",64,khac,0.0,0.0,0.0,,,0945313989,https://thuexequangtri.com.vn/,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""vtkdl"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/vtkdl/?item=274"", ""email"": ""thuexe@lavangtransport.com"", ""item_id"": ""274"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
52,Xe du lịch Toàn Phát,,"123 Trương Pháp, Đồng Thuận, Thành Phố Đồng Hới, Quảng Trị",46,khac,0.0,0.0,0.0,,,0976605454,https://xedulich-toan-phat.business.site/,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""vtkdl"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/vtkdl/?item=269"", ""email"": """", ""item_id"": ""269"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
53,Dịch vụ cho thuê xe máy Quảng Bình,,"Số 44 Hoàng Diệu, Thành Phố Đồng Hới, Quảng Trị",46,khac,0.0,0.0,0.0,,,0978211325,https://thuexemayquangbinh.com/,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""vtkdl"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/vtkdl/?item=270"", ""email"": ""khanhtungnguyen@gmail.com"", ""item_id"": ""270"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
54,Công ty TNHH Lương Thực và Lữ Hành Hương Việt,,"40 Phan Đình Phùng, Đồng Thuận, Thành Phố Đồng Hới, Quảng Trị",46,khac,0.0,0.0,0.0,,,0909288979,https://quangbinhgo.com/,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""vtkdl"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/vtkdl/?item=271"", ""email"": ""quangbinhgo@gmail.com"", ""item_id"": ""271"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
55,Cho thuê xe du lịch Đức An,,"225 Hàm Nghi, Thành phố Đông Hà",22,khac,0.0,0.0,0.0,,,0983743159,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""vtkdl"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/vtkdl/?item=273"", ""email"": ""voducan9@gmail.com"", ""item_id"": ""273"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
56,Công ty Vận Tải Du Lịch Quảng Trị,,"128 Lê Lợi, Thành phố Đông Hà",22,khac,0.0,0.0,0.0,,,0911460405,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""vtkdl"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/vtkdl/?item=275"", ""email"": ""congtyvantaidulichquangtri@gmail.com"", ""item_id"": ""275"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
